score,frequency,class
-0.815404989,0.073595698,WT_Silent
-0.813204884,0.074965832,WT_Silent
-0.811004778,0.076346744,WT_Silent
-0.808804673,0.077812255,WT_Silent
-0.806604568,0.07928554,WT_Silent
-0.804404462,0.080834116,WT_Silent
-0.802204357,0.082386223,WT_Silent
-0.800004251,0.084016998,WT_Silent
-0.797804146,0.085651825,WT_Silent
-0.795604041,0.087362241,WT_Silent
-0.793403935,0.089080934,WT_Silent
-0.79120383,0.090877667,WT_Silent
-0.789003724,0.092688233,WT_Silent
-0.786803619,0.09458314,WT_Silent
-0.784603514,0.096492505,WT_Silent
-0.782403408,0.098465179,WT_Silent
-0.780203303,0.100455428,WT_Silent
-0.778003197,0.10250421,WT_Silent
-0.775803092,0.104573433,WT_Silent
-0.773602987,0.106696296,WT_Silent
-0.771402881,0.108843102,WT_Silent
-0.769202776,0.111040568,WT_Silent
-0.767002671,0.113269278,WT_Silent
-0.764802565,0.115552118,WT_Silent
-0.76260246,0.117860214,WT_Silent
-0.760402354,0.120204508,WT_Silent
-0.758202249,0.122574801,WT_Silent
-0.756002144,0.124976112,WT_Silent
-0.753802038,0.127403609,WT_Silent
-0.751601933,0.12985719,WT_Silent
-0.749401827,0.132336678,WT_Silent
-0.747201722,0.13483771,WT_Silent
-0.745001617,0.13736904,WT_Silent
-0.742801511,0.139921338,WT_Silent
-0.740601406,0.142492917,WT_Silent
-0.7384013,0.14507553,WT_Silent
-0.736201195,0.147674583,WT_Silent
-0.73400109,0.150281338,WT_Silent
-0.731800984,0.152901102,WT_Silent
-0.729600879,0.155525774,WT_Silent
-0.727400773,0.158159433,WT_Silent
-0.725200668,0.16079576,WT_Silent
-0.723000563,0.163435064,WT_Silent
-0.720800457,0.166075038,WT_Silent
-0.718600352,0.168709767,WT_Silent
-0.716400246,0.17134365,WT_Silent
-0.714200141,0.17396698,WT_Silent
-0.712000036,0.176589216,WT_Silent
-0.70979993,0.179195502,WT_Silent
-0.707599825,0.181800967,WT_Silent
-0.705399719,0.184384973,WT_Silent
-0.703199614,0.186967501,WT_Silent
-0.700999509,0.189517524,WT_Silent
-0.698799403,0.192064638,WT_Silent
-0.696599298,0.194580879,WT_Silent
-0.694399193,0.197092698,WT_Silent
-0.692199087,0.199575211,WT_Silent
-0.689998982,0.202051581,WT_Silent
-0.687798876,0.204499213,WT_Silent
-0.685598771,0.206939027,WT_Silent
-0.683398666,0.2093513,WT_Silent
-0.68119856,0.211752423,WT_Silent
-0.678998455,0.214122801,WT_Silent
-0.676798349,0.216482321,WT_Silent
-0.674598244,0.218817804,WT_Silent
-0.672398139,0.221143465,WT_Silent
-0.670198033,0.223451373,WT_Silent
-0.667997928,0.225749957,WT_Silent
-0.665797822,0.228034626,WT_Silent
-0.663597717,0.230311168,WT_Silent
-0.661397612,0.232577624,WT_Silent
-0.659197506,0.234837936,WT_Silent
-0.656997401,0.237091883,WT_Silent
-0.654797295,0.23934575,WT_Silent
-0.65259719,0.241599549,WT_Silent
-0.650397085,0.243858964,WT_Silent
-0.648196979,0.246122425,WT_Silent
-0.645996874,0.248397325,WT_Silent
-0.643796768,0.250679051,WT_Silent
-0.641596663,0.252979023,WT_Silent
-0.639396558,0.25528793,WT_Silent
-0.637196452,0.257628094,WT_Silent
-0.634996347,0.259980641,WT_Silent
-0.632796241,0.26238018,WT_Silent
-0.630596136,0.264794457,WT_Silent
-0.628396031,0.267260382,WT_Silent
-0.626195925,0.269738718,WT_Silent
-0.62399582,0.272279264,WT_Silent
-0.621795715,0.274830679,WT_Silent
-0.619595609,0.277455411,WT_Silent
-0.617395504,0.280088628,WT_Silent
-0.615195398,0.282816468,WT_Silent
-0.612995293,0.28555021,WT_Silent
-0.610795188,0.288406783,WT_Silent
-0.608595082,0.291268517,WT_Silent
-0.606394977,0.294237108,WT_Silent
-0.604194871,0.297214506,WT_Silent
-0.601994766,0.300298501,WT_Silent
-0.599794661,0.303397027,WT_Silent
-0.597594555,0.306600793,WT_Silent
-0.59539445,0.309826421,WT_Silent
-0.593194344,0.31316162,WT_Silent
-0.590994239,0.316530468,WT_Silent
-0.588794134,0.320024872,WT_Silent
-0.586594028,0.32355197,WT_Silent
-0.584393923,0.327173903,WT_Silent
-0.582193817,0.330834115,WT_Silent
-0.579993712,0.334583067,WT_Silent
-0.577793607,0.338375631,WT_Silent
-0.575593501,0.342250493,WT_Silent
-0.573393396,0.346175185,WT_Silent
-0.57119329,0.350177362,WT_Silent
-0.568993185,0.354247519,WT_Silent
-0.56679308,0.35840547,WT_Silent
-0.564592974,0.362619151,WT_Silent
-0.562392869,0.366892867,WT_Silent
-0.560192763,0.371225749,WT_Silent
-0.557992658,0.375611858,WT_Silent
-0.555792553,0.380060298,WT_Silent
-0.553592447,0.384555486,WT_Silent
-0.551392342,0.389115917,WT_Silent
-0.549192236,0.393716945,WT_Silent
-0.546992131,0.398406146,WT_Silent
-0.544792026,0.403140479,WT_Silent
-0.54259192,0.407945599,WT_Silent
-0.540391815,0.412780133,WT_Silent
-0.53819171,0.417688515,WT_Silent
-0.535991604,0.422621321,WT_Silent
-0.533791499,0.427632422,WT_Silent
-0.531591393,0.43266353,WT_Silent
-0.529391288,0.437778027,WT_Silent
-0.527191183,0.442908232,WT_Silent
-0.524991077,0.448153753,WT_Silent
-0.522790972,0.453414038,WT_Silent
-0.520590866,0.458780166,WT_Silent
-0.518390761,0.464154077,WT_Silent
-0.516190656,0.469639832,WT_Silent
-0.51399055,0.475130889,WT_Silent
-0.511790445,0.480740749,WT_Silent
-0.509590339,0.486359205,WT_Silent
-0.507390234,0.492098267,WT_Silent
-0.505190129,0.497856812,WT_Silent
-0.502990023,0.503770531,WT_Silent
-0.500789918,0.509711004,WT_Silent
-0.498589812,0.51579561,WT_Silent
-0.496389707,0.52191458,WT_Silent
-0.494189602,0.528169671,WT_Silent
-0.491989496,0.53446984,WT_Silent
-0.489789391,0.540907744,WT_Silent
-0.487589285,0.547402659,WT_Silent
-0.48538918,0.554036086,WT_Silent
-0.483189075,0.560755034,WT_Silent
-0.480988969,0.567642542,WT_Silent
-0.478788864,0.574629593,WT_Silent
-0.476588758,0.581777955,WT_Silent
-0.474388653,0.589031843,WT_Silent
-0.472188548,0.596427561,WT_Silent
-0.469988442,0.603945895,WT_Silent
-0.467788337,0.611601599,WT_Silent
-0.465588232,0.619397952,WT_Silent
-0.463388126,0.627325897,WT_Silent
-0.461188021,0.635440276,WT_Silent
-0.458987915,0.643700166,WT_Silent
-0.45678781,0.652172935,WT_Silent
-0.454587705,0.660783732,WT_Silent
-0.452387599,0.669598585,WT_Silent
-0.450187494,0.678522513,WT_Silent
-0.447987388,0.687670069,WT_Silent
-0.445787283,0.696914991,WT_Silent
-0.443587178,0.706403175,WT_Silent
-0.441387072,0.715976085,WT_Silent
-0.439186967,0.725844216,WT_Silent
-0.436986861,0.735792395,WT_Silent
-0.434786756,0.746080545,WT_Silent
-0.432586651,0.756437488,WT_Silent
-0.430386545,0.767095433,WT_Silent
-0.42818644,0.777795705,WT_Silent
-0.425986334,0.788812833,WT_Silent
-0.423786229,0.799856871,WT_Silent
-0.421586124,0.811232625,WT_Silent
-0.419386018,0.82262413,WT_Silent
-0.417185913,0.834380588,WT_Silent
-0.414985807,0.846160565,WT_Silent
-0.412785702,0.858331433,WT_Silent
-0.410585597,0.870535501,WT_Silent
-0.408385491,0.883032633,WT_Silent
-0.406185386,0.89557641,WT_Silent
-0.40398528,0.908391353,WT_Silent
-0.401785175,0.92126537,WT_Silent
-0.39958507,0.934388348,WT_Silent
-0.397384964,0.947584611,WT_Silent
-0.395184859,0.96101708,WT_Silent
-0.392984753,0.974548513,WT_Silent
-0.390784648,0.988332161,WT_Silent
-0.388584543,1.002198055,WT_Silent
-0.386384437,1.016233364,WT_Silent
-0.384184332,1.030354898,WT_Silent
-0.381984227,1.044622108,WT_Silent
-0.379784121,1.058977038,WT_Silent
-0.377584016,1.073454695,WT_Silent
-0.37538391,1.088019394,WT_Silent
-0.373183805,1.102685517,WT_Silent
-0.3709837,1.117450053,WT_Silent
-0.368783594,1.13231034,WT_Silent
-0.366583489,1.14722812,WT_Silent
-0.364383383,1.162192586,WT_Silent
-0.362183278,1.177199392,WT_Silent
-0.359983173,1.192234796,WT_Silent
-0.357783067,1.207293313,WT_Silent
-0.355582962,1.222364724,WT_Silent
-0.353382856,1.237435727,WT_Silent
-0.351182751,1.252506543,WT_Silent
-0.348982646,1.267523604,WT_Silent
-0.34678254,1.282520975,WT_Silent
-0.344582435,1.297423473,WT_Silent
-0.342382329,1.312298728,WT_Silent
-0.340182224,1.327038849,WT_Silent
-0.337982119,1.34174969,WT_Silent
-0.335782013,1.356279293,WT_Silent
-0.333581908,1.370781075,WT_Silent
-0.331381802,1.385050931,WT_Silent
-0.329181697,1.39929839,WT_Silent
-0.326981592,1.413165429,WT_Silent
-0.324781486,1.427014551,WT_Silent
-0.322581381,1.440454646,WT_Silent
-0.320381275,1.453874428,WT_Silent
-0.31818117,1.466882021,WT_Silent
-0.315981065,1.479845902,WT_Silent
-0.313780959,1.49237825,WT_Silent
-0.311580854,1.504839822,WT_Silent
-0.309380749,1.516855503,WT_Silent
-0.307180643,1.528745557,WT_Silent
-0.304980538,1.540070963,WT_Silent
-0.302780432,1.551241168,WT_Silent
-0.300580327,1.56188289,WT_Silent
-0.298380222,1.572346936,WT_Silent
-0.296180116,1.582335475,WT_Silent
-0.293980011,1.592108684,WT_Silent
-0.291779905,1.601418003,WT_Silent
-0.2895798,1.610473089,WT_Silent
-0.287379695,1.619080177,WT_Silent
-0.285179589,1.627339427,WT_Silent
-0.282979484,1.635091974,WT_Silent
-0.280779378,1.642460887,WT_Silent
-0.278579273,1.649364791,WT_Silent
-0.276379168,1.655896231,WT_Silent
-0.274179062,1.662050806,WT_Silent
-0.271978957,1.667798798,WT_Silent
-0.269778851,1.673203321,WT_Silent
-0.267578746,1.678169004,WT_Silent
-0.265378641,1.682826034,WT_Silent
-0.263178535,1.686950245,WT_Silent
-0.26097843,1.690764331,WT_Silent
-0.258778324,1.694002692,WT_Silent
-0.256578219,1.696966502,WT_Silent
-0.254378114,1.699426058,WT_Silent
-0.252178008,1.701691565,WT_Silent
-0.249977903,1.70343734,WT_Silent
-0.247777797,1.705025338,WT_Silent
-0.245577692,1.706081537,WT_Silent
-0.243377587,1.707014718,WT_Silent
-0.241177481,1.707355917,WT_Silent
-0.238977376,1.707598453,WT_Silent
-0.236777271,1.707197053,WT_Silent
-0.234577165,1.706725813,WT_Silent
-0.23237706,1.705735112,WT_Silent
-0.230176954,1.704715434,WT_Silent
-0.227976849,1.70318028,WT_Silent
-0.225776744,1.701622812,WT_Silent
-0.223576638,1.69959285,WT_Silent
-0.221376533,1.697522657,WT_Silent
-0.219176427,1.695003205,WT_Silent
-0.216976322,1.692416818,WT_Silent
-0.214776217,1.689371158,WT_Silent
-0.212576111,1.686259386,WT_Silent
-0.210376006,1.682829823,WT_Silent
-0.2081759,1.679321997,WT_Silent
-0.205975795,1.675532145,WT_Silent
-0.20377569,1.671653668,WT_Silent
-0.201575584,1.667525851,WT_Silent
-0.199375479,1.663298189,WT_Silent
-0.197175373,1.658845396,WT_Silent
-0.194975268,1.654260853,WT_Silent
-0.192775163,1.649434032,WT_Silent
-0.190575057,1.644501251,WT_Silent
-0.188374952,1.639407701,WT_Silent
-0.186174846,1.634202142,WT_Silent
-0.183974741,1.628855333,WT_Silent
-0.181774636,1.623391146,WT_Silent
-0.17957453,1.617803454,WT_Silent
-0.177374425,1.612093558,WT_Silent
-0.175174319,1.606276283,WT_Silent
-0.172974214,1.600295955,WT_Silent
-0.170774109,1.594196239,WT_Silent
-0.168574003,1.587969015,WT_Silent
-0.166373898,1.581664405,WT_Silent
-0.164173792,1.57522975,WT_Silent
-0.161973687,1.568730262,WT_Silent
-0.159773582,1.562097535,WT_Silent
-0.157573476,1.555410999,WT_Silent
-0.155373371,1.548588708,WT_Silent
-0.153173266,1.54172292,WT_Silent
-0.15097316,1.534685653,WT_Silent
-0.148773055,1.527606145,WT_Silent
-0.146572949,1.520389304,WT_Silent
-0.144372844,1.513147725,WT_Silent
-0.142172739,1.505777679,WT_Silent
-0.139972633,1.498392138,WT_Silent
-0.137772528,1.490881849,WT_Silent
-0.135572422,1.483363226,WT_Silent
-0.133372317,1.475725289,WT_Silent
-0.131172212,1.468081693,WT_Silent
-0.128972106,1.460313112,WT_Silent
-0.126772001,1.452538038,WT_Silent
-0.124571895,1.444679775,WT_Silent
-0.12237179,1.436813917,WT_Silent
-0.120171685,1.428890961,WT_Silent
-0.117971579,1.420960221,WT_Silent
-0.115771474,1.412989338,WT_Silent
-0.113571368,1.405012116,WT_Silent
-0.111371263,1.397010674,WT_Silent
-0.109171158,1.389007076,WT_Silent
-0.106971052,1.380997091,WT_Silent
-0.104770947,1.372993917,WT_Silent
-0.102570841,1.365006832,WT_Silent
-0.100370736,1.357034334,WT_Silent
-0.098170631,1.349089845,WT_Silent
-0.095970525,1.34116904,WT_Silent
-0.09377042,1.333285675,WT_Silent
-0.091570314,1.325436619,WT_Silent
-0.089370209,1.317632582,WT_Silent
-0.087170104,1.309884498,WT_Silent
-0.084969998,1.302197641,WT_Silent
-0.082769893,1.294586392,WT_Silent
-0.080569788,1.28704424,WT_Silent
-0.078369682,1.279582837,WT_Silent
-0.076169577,1.27218297,WT_Silent
-0.073969471,1.264877883,WT_Silent
-0.071769366,1.257632753,WT_Silent
-0.069569261,1.250496679,WT_Silent
-0.067369155,1.243417405,WT_Silent
-0.06516905,1.236477538,WT_Silent
-0.062968944,1.229596697,WT_Silent
-0.060768839,1.222882365,WT_Silent
-0.058568734,1.216224264,WT_Silent
-0.056368628,1.209716665,WT_Silent
-0.054168523,1.203248457,WT_Silent
-0.051968417,1.196939637,WT_Silent
-0.049768312,1.190661727,WT_Silent
-0.047568207,1.184550616,WT_Silent
-0.045368101,1.178461695,WT_Silent
-0.043167996,1.172559122,WT_Silent
-0.04096789,1.166671096,WT_Silent
-0.038767785,1.160993965,WT_Silent
-0.03656768,1.155325641,WT_Silent
-0.034367574,1.149817187,WT_Silent
-0.032167469,1.14431819,WT_Silent
-0.029967363,1.138960734,WT_Silent
-0.027767258,1.133618137,WT_Silent
-0.025567153,1.128398724,WT_Silent
-0.023367047,1.12319894,WT_Silent
-0.021166942,1.118108122,WT_Silent
-0.018966836,1.113042255,WT_Silent
-0.016766731,1.108077671,WT_Silent
-0.014566626,1.103131254,WT_Silent
-0.01236652,1.098241538,WT_Silent
-0.010166415,1.093368184,WT_Silent
-0.00796631,1.088535344,WT_Silent
-0.005766204,1.083715394,WT_Silent
-0.003566099,1.078921301,WT_Silent
-0.001365993,1.07413493,WT_Silent
0.000834112,1.069361283,WT_Silent
0.003034217,1.064584263,WT_Silent
0.005234323,1.059802635,WT_Silent
0.007434428,1.055006552,WT_Silent
0.009634534,1.050194018,WT_Silent
0.011834639,1.045357587,WT_Silent
0.014034744,1.040498444,WT_Silent
0.01623485,1.035605065,WT_Silent
0.018434955,1.030684537,WT_Silent
0.020635061,1.025718674,WT_Silent
0.022835166,1.020722932,WT_Silent
0.025035271,1.015650065,WT_Silent
0.027235377,1.010535258,WT_Silent
0.029435482,1.005345084,WT_Silent
0.031635588,1.000121485,WT_Silent
0.033835693,0.994814635,WT_Silent
0.036035798,0.989478194,WT_Silent
0.038235904,0.984049408,WT_Silent
0.040436009,0.978594996,WT_Silent
0.042636115,0.973039901,WT_Silent
0.04483622,0.96746386,WT_Silent
0.047036325,0.961752899,WT_Silent
0.049236431,0.956022274,WT_Silent
0.051436536,0.95017373,WT_Silent
0.053636642,0.944314625,WT_Silent
0.055836747,0.938344092,WT_Silent
0.058036852,0.932368398,WT_Silent
0.060236958,0.926283858,WT_Silent
0.062437063,0.920193909,WT_Silent
0.064637169,0.914007003,WT_Silent
0.066837274,0.907809362,WT_Silent
0.069037379,0.901512753,WT_Silent
0.071237485,0.895204579,WT_Silent
0.07343759,0.888827009,WT_Silent
0.075637695,0.882438469,WT_Silent
0.077837801,0.8760025,WT_Silent
0.080037906,0.869556176,WT_Silent
0.082238012,0.863075738,WT_Silent
0.084438117,0.856586985,WT_Silent
0.086638222,0.850076624,WT_Silent
0.088838328,0.843562231,WT_Silent
0.091038433,0.837039384,WT_Silent
0.093238539,0.830521864,WT_Silent
0.095438644,0.824013497,WT_Silent
0.097638749,0.817518305,WT_Silent
0.099838855,0.811041846,WT_Silent
0.10203896,0.804587185,WT_Silent
0.104239066,0.798158328,WT_Silent
0.106439171,0.791761172,WT_Silent
0.108639276,0.785395346,WT_Silent
0.110839382,0.779080279,WT_Silent
0.113039487,0.772807088,WT_Silent
0.115239593,0.766604786,WT_Silent
0.117439698,0.760451146,WT_Silent
0.119639803,0.754372259,WT_Silent
0.121839909,0.748335793,WT_Silent
0.124040014,0.742386933,WT_Silent
0.12624012,0.736478739,WT_Silent
0.128440225,0.730671296,WT_Silent
0.13064033,0.724901498,WT_Silent
0.132840436,0.719258575,WT_Silent
0.135040541,0.713652912,WT_Silent
0.137240647,0.708204742,WT_Silent
0.139440752,0.702791613,WT_Silent
0.141640857,0.697520123,WT_Silent
0.143840963,0.692271115,WT_Silent
0.146041068,0.687173308,WT_Silent
0.148241173,0.682090816,WT_Silent
0.150441279,0.677168113,WT_Silent
0.152641384,0.672253286,WT_Silent
0.15484149,0.667516664,WT_Silent
0.157041595,0.66278921,WT_Silent
0.1592417,0.658257759,WT_Silent
0.161441806,0.653740109,WT_Silent
0.163641911,0.649365379,WT_Silent
0.165842017,0.645010611,WT_Silent
0.168042122,0.640785888,WT_Silent
0.170242227,0.636586504,WT_Silent
0.172442333,0.632504074,WT_Silent
0.174642438,0.628452227,WT_Silent
0.176842544,0.624506885,WT_Silent
0.179042649,0.620602339,WT_Silent
0.181242754,0.616809161,WT_Silent
0.18344286,0.613047644,WT_Silent
0.185642965,0.609355581,WT_Silent
0.187843071,0.605695178,WT_Silent
0.190043176,0.602091518,WT_Silent
0.192243281,0.598518213,WT_Silent
0.194443387,0.594989849,WT_Silent
0.196643492,0.591489182,WT_Silent
0.198843598,0.588022625,WT_Silent
0.201043703,0.58458294,WT_Silent
0.203243808,0.581170876,WT_Silent
0.205443914,0.577770149,WT_Silent
0.207644019,0.574379151,WT_Silent
0.209844125,0.570992199,WT_Silent
0.21204423,0.567608139,WT_Silent
0.214244335,0.564219931,WT_Silent
0.216444441,0.560829269,WT_Silent
0.218644546,0.557425231,WT_Silent
0.220844651,0.554014699,WT_Silent
