score,frequency,class
-0.073169262,0.080845128,Common_Cancer_Missense
-0.070927403,0.081841424,Common_Cancer_Missense
-0.068685544,0.082835852,Common_Cancer_Missense
-0.066443685,0.083814472,Common_Cancer_Missense
-0.064201826,0.084790371,Common_Cancer_Missense
-0.061959967,0.085750935,Common_Cancer_Missense
-0.059718108,0.08670474,Common_Cancer_Missense
-0.05747625,0.087630763,Common_Cancer_Missense
-0.055234391,0.088550607,Common_Cancer_Missense
-0.052992532,0.089450956,Common_Cancer_Missense
-0.050750673,0.090344686,Common_Cancer_Missense
-0.048508814,0.091221866,Common_Cancer_Missense
-0.046266955,0.092086313,Common_Cancer_Missense
-0.044025096,0.092924992,Common_Cancer_Missense
-0.041783237,0.093750754,Common_Cancer_Missense
-0.039541378,0.094555056,Common_Cancer_Missense
-0.037299519,0.095347831,Common_Cancer_Missense
-0.03505766,0.096124736,Common_Cancer_Missense
-0.032815801,0.09688306,Common_Cancer_Missense
-0.030573942,0.097620071,Common_Cancer_Missense
-0.028332083,0.098335161,Common_Cancer_Missense
-0.026090224,0.099029254,Common_Cancer_Missense
-0.023848365,0.099706424,Common_Cancer_Missense
-0.021606506,0.100370068,Common_Cancer_Missense
-0.019364647,0.101010386,Common_Cancer_Missense
-0.017122788,0.101635204,Common_Cancer_Missense
-0.014880929,0.102227388,Common_Cancer_Missense
-0.01263907,0.102801673,Common_Cancer_Missense
-0.010397211,0.103353789,Common_Cancer_Missense
-0.008155352,0.103895984,Common_Cancer_Missense
-0.005913493,0.104411988,Common_Cancer_Missense
-0.003671634,0.104918589,Common_Cancer_Missense
-0.001429775,0.10538113,Common_Cancer_Missense
0.000812084,0.105831302,Common_Cancer_Missense
0.003053943,0.106254908,Common_Cancer_Missense
0.005295802,0.106672911,Common_Cancer_Missense
0.007537661,0.107062941,Common_Cancer_Missense
0.009779519,0.107448822,Common_Cancer_Missense
0.012021378,0.10778257,Common_Cancer_Missense
0.014263237,0.108111528,Common_Cancer_Missense
0.016505096,0.108409653,Common_Cancer_Missense
0.018746955,0.108706343,Common_Cancer_Missense
0.020988814,0.108972795,Common_Cancer_Missense
0.023230673,0.109236778,Common_Cancer_Missense
0.025472532,0.109454683,Common_Cancer_Missense
0.027714391,0.109669395,Common_Cancer_Missense
0.02995625,0.109853996,Common_Cancer_Missense
0.032198109,0.110034772,Common_Cancer_Missense
0.034439968,0.110192232,Common_Cancer_Missense
0.036681827,0.110342471,Common_Cancer_Missense
0.038923686,0.110461091,Common_Cancer_Missense
0.041165545,0.110572332,Common_Cancer_Missense
0.043407404,0.110658994,Common_Cancer_Missense
0.045649263,0.11073946,Common_Cancer_Missense
0.047891122,0.110803668,Common_Cancer_Missense
0.050132981,0.110858693,Common_Cancer_Missense
0.05237484,0.110894287,Common_Cancer_Missense
0.054616699,0.11091972,Common_Cancer_Missense
0.056858558,0.110927548,Common_Cancer_Missense
0.059100417,0.110928551,Common_Cancer_Missense
0.061342276,0.110919769,Common_Cancer_Missense
0.063584135,0.110902474,Common_Cancer_Missense
0.065825994,0.110875022,Common_Cancer_Missense
0.068067853,0.110837216,Common_Cancer_Missense
0.070309712,0.110789098,Common_Cancer_Missense
0.072551571,0.110735553,Common_Cancer_Missense
0.07479343,0.110677497,Common_Cancer_Missense
0.077035288,0.110613687,Common_Cancer_Missense
0.079277147,0.110545897,Common_Cancer_Missense
0.081519006,0.110471215,Common_Cancer_Missense
0.083760865,0.11039259,Common_Cancer_Missense
0.086002724,0.110312041,Common_Cancer_Missense
0.088244583,0.110230592,Common_Cancer_Missense
0.090486442,0.110147459,Common_Cancer_Missense
0.092728301,0.11006369,Common_Cancer_Missense
0.09497016,0.109980826,Common_Cancer_Missense
0.097212019,0.10989823,Common_Cancer_Missense
0.099453878,0.109819219,Common_Cancer_Missense
0.101695737,0.109741017,Common_Cancer_Missense
0.103937596,0.10966695,Common_Cancer_Missense
0.106179455,0.109593551,Common_Cancer_Missense
0.108421314,0.109530537,Common_Cancer_Missense
0.110663173,0.109468601,Common_Cancer_Missense
0.112905032,0.109418978,Common_Cancer_Missense
0.115146891,0.109369989,Common_Cancer_Missense
0.11738875,0.109332461,Common_Cancer_Missense
0.119630609,0.109295763,Common_Cancer_Missense
0.121872468,0.109277378,Common_Cancer_Missense
0.124114327,0.109260935,Common_Cancer_Missense
